Id,Label,timeset,page id,Categories,year of first edit,Edit Counts,Page Views,number of words,number of images,u-p/e,page views-label,edit counts-label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
69,,,69,6,2002,155,86157,8781,58,0.580455,4,4,12,0.19225,0.248349,0.01048
70,,,70,2,2002,405,345511,11120,35,0.890874,5,9,12,0.170157,0.201447,0
71,,,71,4,2001,51,82784,4565,25,1.695063,4,2,12,0.204762,0.260318,0.065113
72,,,72,5,2004,500,1533982,13705,75,3.20376,6,11,0,0,0,0
73,,,73,1,2001,500,163869,11814,91,0.342244,5,11,9,0.227209,0.260842,0.01601
74,,,74,1,2002,91,20414,4083,28,0.234259,4,2,10,0.245083,0.308485,0.005347
75,,,75,5,2001,181,428980,9242,44,2.47496,5,4,11,0.192537,0.236481,0.003229
76,,,76,6,2004,457,1367929,6810,36,3.12577,6,10,12,0.179167,0.236112,0.013098
77,,,77,6,2007,32,10930,2663,6,0.356681,4,1,12,0.183761,0.239637,0
78,,,78,2,2001,461,651107,17523,51,1.474895,5,10,11,0.211129,0.278637,0.094222
79,,,79,5,2001,248,914877,12515,29,3.852305,5,5,12,0.205087,0.319417,0.078859
80,,,80,1,2002,69,26624,2922,18,0.402934,4,2,10,0.177686,0.21037,0
81,,,81,1,2003,139,72831,3283,24,0.547156,4,3,9,0.215719,0.289492,0.131687
82,,,82,1,2004,8,1329,212,8,0.173478,3,1,10,0.177686,0.21037,0
83,,,83,6,2008,7,184,465,0,0.027449,2,1,10,0.190265,0.232195,0
84,,,84,2,2007,16,849,1150,10,0.055411,2,1,10,0.177686,0.21037,0
85,,,85,4,2003,103,52620,3915,14,0.533486,4,3,9,0.207063,0.238329,0.012959
86,,,86,6,2002,11,1968,1857,4,0.186828,3,1,11,0.14726,0.162438,0.00032
87,,,87,4,2004,20,14371,1783,25,0.750355,4,1,11,0.196347,0.2463,0.00444
88,,,88,6,2007,13,3303,685,4,0.265323,3,1,11,0.190265,0.227308,0.001196
89,,,89,6,2009,11,1537,634,3,0.145912,3,1,10,0.188047,0.227286,0.000793
90,,,90,5,2005,20,1415,1920,10,0.073882,3,1,11,0.190828,0.232476,0.002788
91,,,91,6,2005,500,2780456,14041,135,5.807051,6,11,12,0.179167,0.236112,0.017314
92,,,92,5,2001,500,752495,14535,89,1.571605,5,11,12,0.16996,0.205593,0.003536
93,,,93,1,2002,53,8316,2476,11,0.163851,3,2,11,0.202492,0.246457,0.000479
94,,,94,4,2002,103,86645,2138,23,0.878448,4,3,11,0.209756,0.257375,0.010299
95,,,95,1,2001,297,134390,8443,60,0.47252,5,6,10,0.21232,0.246433,0.00033
96,,,96,1,2005,0,378,500,2,,2,1,12,0.18578,0.21921,0
97,,,97,1,2002,311,32486,4772,142,0.10908,4,7,11,0.227848,0.294085,0.006238
98,,,98,6,2008,37,74443,1065,3,2.101028,4,1,11,0.190265,0.227308,0.002305
99,,,99,1,2002,10,1013,1139,11,0.105784,3,1,11,0.190896,0.228124,0
100,,,100,1,2001,146,258555,6853,46,1.84931,5,3,7,0.264887,0.321059,0.039437
